NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Klebsiella variicola	418	12268	39	160	13	0	67	1	13	0	13	2	14	31	24	6
Klebsiella michiganensis	400	3016	12	9	4	0	33	25	10	2	9	3	1	4	77	0
Klebsiella grimontii	196	825	21	0	6	0	29	0	11	0	24	0	9	2	23	14
Klebsiella sp. A52	41	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella sp. P1CD1	32	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella sp. M5al	2617	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella sp. KPN54798	78	451	19	969	0	0	48	0	0	0	0	0	0	631	0	0
Klebsiella sp. P1927	469	2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella sp. PCX	102	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella oxytoca	30	2282	14	290	0	0	7	3	4	0	4	1	0	74	26	0
Klebsiella quasivariicola	17	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella huaxiensis	12	294	1	3	1	1	0	0	1	1	0	0	0	2	0	0
Klebsiella africana	12	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella ornithinolytica	68	1980	3	11	1	3	7	2	6	0	1	0	0	4	11	1
Raoultella planticola	2	627	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Raoultella terrigena	2	229	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Raoultella electrica	2	30	2	15	0	0	0	0	0	0	0	0	0	14	0	0
Salmonella enterica	107405	1582391	81465	197631	60907	3656	89666	4430	28286	734	44169	1875	22208	50401	136152	2640
Salmonella sp. SJTUF14178	1665	16158	8047	13805	0	0	2758	612	361	159	387	0	228	6465	0	0
Salmonella sp. SSDFZ54	43	1100	0	1585	0	0	0	0	0	0	25	0	0	525	0	0
Salmonella bongori	306	88594	1948	11820	0	0	426	141	161	0	184	0	0	2510	18	0
Escherichia coli	23956	1375809	8761	140950	1140	1726	13435	4518	25702	436344	4927	243648	4102	39153	759	903
Escherichia albertii	32	816	53	7	7	1	79	0	44	172	62	1	19	1	13	0
Escherichia fergusonii	196	1234	8	1	1	7	14	0	3	0	1	0	0	3	1	0
Escherichia marmotae	2	19	0	0	0	6	0	0	2	0	1	0	0	1	1	0
Escherichia sp. E4742	2	2	0	0	1	0	0	0	2	0	0	0	0	3	2	0
Enterobacter hormaechei	2044	24103	135	581	0	49	115	18	11	0	531	14	13	78	15	23
Enterobacter cloacae	59	105904	23	255	6	0	13	5	7	6	11	64	10	172	9	67
Enterobacter cloacae complex sp.	106	7055	214	145	4	0	21	0	28	0	70	5	17	75	1	9
Enterobacter sp. BIDMC 29	6	159	3	5	0	0	1	0	0	0	0	0	0	1	0	0
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	6	3511	0	5	0	1	0	0	1	1	0	0	0	1	0	0
Enterobacter roggenkampii	28	10958	6	339	0	4	13	6	8	2	19	3	4	55	2	9
Enterobacter kobei	37	3067	19	160	0	8	23	2	0	0	35	0	0	16	3	9
Enterobacter asburiae	20	927	2	15	0	0	1	0	0	0	9	0	0	2	0	0
Enterobacter cancerogenus	8	197	8	6	1	0	2	1	0	0	2	0	0	1	0	0
Enterobacter ludwigii	8	804	0	5	0	0	1	1	0	0	0	0	0	1	0	0
Enterobacter chengduensis	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter sichuanensis	1	67	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter chuandaensis	1	6	0	0	0	0	1	0	0	0	2	0	0	0	0	0
Enterobacter bugandensis	122	867	31	21	14	0	57	1	27	0	87	0	14	0	40	0
Enterobacter sp. JUb54	18	18	1	1	0	0	0	1	0	0	0	0	0	1	0	0
Enterobacter sp. RHBSTW-00994	10	51	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Enterobacter sp. SA187	7	19	0	0	0	0	1	0	2	0	0	0	0	0	0	0
Enterobacter sp. Colony194	3	288	0	0	0	1	1	0	0	0	0	1	0	0	1	0
Enterobacter sp. JBIWA008	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Enterobacter sp. E76	3	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Enterobacter sp. JBIWA003	2	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter sp. SES19	2	88	0	14	0	1	0	0	0	0	3	0	0	2	3	0
Enterobacter sp. E20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter mori	8	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Enterobacter huaxiensis	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Enterobacter soli	1	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Plesiomonas shigelloides	581	509	37	5	0	1	1	1	4	1	0	1	0	2	0	1
Citrobacter portucalensis	109	1638	4	25	1	4	6	0	0	0	0	0	0	0	0	5
Citrobacter freundii	53	2481	5	6	1	2	0	2	0	0	0	0	8	2	2	1
Citrobacter braakii	37	2185	13	26	0	0	11	7	0	0	0	3	0	11	0	0
Citrobacter freundii complex sp. CFNIH9	33	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. ABFQG	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter werkmanii	6	599	3	6	0	0	1	1	0	9	0	0	0	0	0	0
Citrobacter sp. XT1-2-2	24	65	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. RHBSTW-01013	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. R56	5	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Citrobacter sp. RHB25-C09	5	84	0	0	0	0	1	0	0	0	1	0	0	0	1	0
Citrobacter sp. RHBSTW-00570	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. CF971	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. RHB35-C21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. RHBSTW-01044	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. Y3	4	83	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter koseri	16	353	0	1	0	0	3	0	0	0	0	0	0	0	0	0
Citrobacter farmeri	11	216	3	0	0	0	2	0	2	0	1	0	0	0	2	1
Citrobacter amalonaticus	10	177	0	2	0	0	3	0	0	0	0	0	0	2	0	0
Citrobacter cronae	13	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter pasteurii	5	65	0	3	0	0	3	1	0	1	0	1	0	0	0	0
Citrobacter rodentium	4	193	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Citrobacter tructae	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter arsenatis	1	13	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Candidatus Profftia sp. (ex Adelges kitamiensis)	147	424	5	16	0	0	5	0	1	0	0	1	0	1	1	0
Candidatus Profftia lariciata	8	338	2	1	1	0	1	0	0	0	0	0	0	2	0	0
Candidatus Profftia tarda	7	295	4	8	0	0	4	0	0	0	0	1	0	10	2	0
Scandinavium goeteborgense	118	3042	4	2	0	1	5	1	0	1	0	0	0	1	0	0
Candidatus Hamiltonella defensa	19	390	4	6	0	0	1	0	0	2	0	1	0	1	1	0
secondary endosymbiont of Heteropsylla cubana	11	421	6	16	1	0	4	1	0	0	1	0	2	7	2	0
secondary endosymbiont of Ctenarytaina eucalypti	9	1112	3	4	1	0	1	0	0	0	0	0	0	0	0	2
Candidatus Doolittlea endobia	19	298	3	1	0	0	0	0	1	0	0	0	0	0	1	0
Symbiopectobacterium purcellii	11	958	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Blochmannia endosymbiont of Camponotus modoc	5	600	8	37	0	0	0	0	0	1	0	3	0	0	0	0
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1	339	0	23	0	0	2	0	0	0	0	0	0	8	0	0
Blochmannia endosymbiont of Colobopsis nipponica	1	206	2	6	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Blochmannia pennsylvanicus	2	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Candidatus Blochmannia vafer	1	53	0	25	0	0	1	0	0	0	0	0	0	1	0	0
Candidatus Hoaglandella endobia	10	270	14	17	1	0	4	0	1	0	1	0	0	0	0	0
Candidatus Gullanella endobia	6	202	8	7	0	0	0	0	0	0	0	0	0	4	0	0
secondary endosymbiont of Trabutina mannipara	3	307	4	6	0	0	7	0	0	0	0	0	1	1	1	1
Candidatus Purcelliella pentastirinorum	1	489	31	243	0	1	3	0	0	1	1	0	0	52	3	0
Candidatus Annandia adelgestsuga	1	416	0	12	0	0	0	0	0	0	1	0	0	2	0	0
Candidatus Mikella endobia	1	416	1	2	0	0	0	2	0	0	1	0	0	0	0	1
Shigella flexneri	5252	12163	602	116	65	0	1414	153	554	0	569	7	92	46	8	0
Shigella boydii	96	291	15	0	8	0	23	0	17	0	6	0	0	0	2	0
Shigella dysenteriae	7	411	3	2	0	0	1	0	0	0	0	0	0	4	0	0
Shigella sonnei	9	664	0	0	153	0	3	0	0	0	0	0	0	0	0	0
Kosakonia sp. SMBL-WEM22	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia sp. MUSA4	7	3	2	0	0	0	2	0	7	0	1	0	2	0	2	0
Kosakonia sp. CCTCC M2018092	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia cowanii	18	13415	10	412	0	6	12	13	7	3	7	4	2	82	6	9
Kosakonia radicincitans	9	691	1	0	3	0	0	0	0	0	0	0	1	0	1	0
Kosakonia oryzae	8	371	0	11	0	0	0	0	0	0	0	0	0	3	0	0
Kosakonia sacchari	5	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia arachidis	3	293	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia sp. W6	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia sp. 29361	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia sp. G3L	6	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia sp. LSNIH3	17	4286	8	241	0	0	18	0	0	0	11	0	12	109	0	0
Leclercia sp. Colony189	7	38	13	6	0	0	3	0	0	0	0	0	0	0	1	0
Leclercia adecarboxylata	18	275	3	9	3	0	0	0	0	0	2	0	3	0	0	0
Leclercia pneumoniae	6	2177	0	11	0	0	0	0	0	0	3	0	0	3	0	1
[Enterobacter] lignolyticus	27	284	2	14	0	0	4	0	3	0	0	0	0	1	0	0
Pluralibacter gergoviae	19	59	0	0	0	0	0	0	0	0	1	0	1	0	2	1
Cedecea neteri	29	256	5	10	3	0	7	0	1	0	14	0	4	0	10	0
Cedecea lapagei	5	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cedecea sp. FDAARGOS_727	1	251	1	3	2	0	0	0	0	1	0	0	0	0	0	1
Kluyvera intermedia	15	34	0	2	0	0	4	0	0	0	0	0	0	0	0	0
Kluyvera ascorbata	19	4	0	61	0	0	0	0	0	0	0	0	0	3	2	0
Kluyvera genomosp. 3	2	437	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cronobacter malonaticus	31	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter sakazakii	5	2284	6	48	0	0	16	1	0	0	1	0	0	4	0	0
Cronobacter universalis	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cronobacter condimenti	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Lelliottia amnigena	23	167	1	0	0	0	1	0	0	0	5	1	1	1	0	1
Jejubacter calystegiae	24	147	1	2	0	0	0	0	1	0	0	0	0	0	0	0
Atlantibacter hermannii	18	357	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Enterobacteriaceae endosymbiont of Macroplea appendiculata	13	321	0	0	0	0	4	0	1	0	0	0	0	0	6	0
Enterobacteriaceae endosymbiont of Neohaemonia nigricornis	1	32	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Shimwellia blattae	14	72	2	2	1	0	0	0	2	0	0	0	0	0	2	0
Pseudescherichia vulneris	14	317	0	1	0	0	0	0	0	0	0	0	0	0	2	0
Buttiauxella agrestis	12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pseudocitrobacter sp. G163CM	11	16	3	0	69	0	8	0	27	0	28	0	22	0	4	0
Phytobacter ursingii	8	180	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Phytobacter sp. SCO41	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phytobacter diazotrophicus	2	19	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Candidatus Ishikawaella capsulata	9	441	3	57	1	0	4	0	0	1	1	1	0	18	2	0
Yokenella regensburgei	7	280	0	3	0	0	2	0	0	0	0	1	0	1	0	1
Candidatus Riesia pediculicola	5	31	24	5	0	0	3	0	0	0	1	0	1	0	0	0
Candidatus Moranella endobia	4	674	1	10	0	0	2	1	0	0	1	0	0	3	0	0
Candidatus Schneideria nysicola	2	203	1	1	0	0	0	1	0	0	0	1	0	0	0	0
Serratia symbiotica	140	1683	165	3	0	0	3	0	1	1	1	0	1	0	1	0
Serratia fonticola	133	54	69	0	127	0	163	0	86	0	30	0	11	2	82	0
Serratia rubidaea	53	61	1	2	0	1	0	0	1	0	0	0	0	0	0	0
Serratia sp. CMO1	54	1548	84	158	2	0	22	0	11	0	6	2	0	72	15	0
Serratia sp. ATCC 39006	4	210	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Serratia sp. FGI94	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Serratia sp. FDAARGOS_506	1	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Serratia marcescens	68	1227	27	30	0	1	7	3	4	1	0	1	6	2	2	0
Serratia plymuthica	25	2605	15	9	1	0	2	5	1	2	0	1	0	0	0	0
Serratia proteamaculans	2	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0
Serratia ureilytica	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Serratia inhibens	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serratia odorifera	1	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia pestis	1592	305821	4081	42951	63	2946	1347	492	85	0	390	30	3	10463	90	149
Yersinia pseudotuberculosis	15	1079	31	77	2	0	4	3	0	0	0	0	1	7	1	0
Yersinia enterocolitica	11	3399	9	142	1	0	8	2	5	0	19	1	13	62	1	10
Yersinia ruckeri	7	49	1	10	0	0	0	0	0	0	0	1	1	3	0	0
Yersinia frederiksenii	9	3054	2	54	0	0	10	7	1	0	0	0	0	5	0	0
Yersinia entomophaga	2	959	0	11	0	0	0	1	2	0	0	0	0	6	0	0
Yersinia kristensenii	1	34	2	6	0	0	0	0	0	0	0	2	0	2	0	0
Yersinia mollaretii	1	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rahnella aquatilis	23	886	27	34	0	0	18	3	3	0	0	1	0	5	8	3
Rahnella inusitata	4	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
Rahnella victoriana	3	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
Rahnella sp. ERMR1:05	1	23	0	0	0	0	0	2	0	1	0	0	0	0	1	0
Nissabacter sp. SGAir0207	7	191	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Rouxiella badensis	5	5	2	0	0	0	2	0	0	0	0	0	0	0	0	0
Candidatus Fukatsuia symbiotica	4	371	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Chania multitudinisentens	3	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ewingella americana	1	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Gibbsiella quercinecans	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pantoea sp. At-9b	79	703	102	41	48	0	160	7	87	2	86	1	46	15	126	1
Pantoea sp. SO10	7	7	4	74	0	0	2	0	0	0	0	0	0	0	1	0
Pantoea sp. CCBC3-3-1	3	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
Pantoea sp. Z09	2	5	2	4	0	0	0	1	0	0	0	0	0	0	0	0
Pantoea agglomerans	33	627	2	8	0	1	4	8	0	0	1	1	1	0	13	2
Pantoea ananatis	10	163	0	4	0	0	1	0	0	0	0	0	0	1	0	0
Pantoea dispersa	7	734	1	29	0	0	0	1	1	0	0	0	1	17	3	0
Pantoea stewartii	2	587	4	110	0	0	1	0	0	0	0	0	0	32	0	0
Pantoea eucalypti	58	278	0	0	0	0	0	0	0	0	6	1	0	2	0	0
Pantoea rwandensis	2	35	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Pantoea cypripedii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea deleyi	1	80	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pantoea vagans	5	806	0	21	0	1	4	0	0	0	0	0	2	1	3	0
Pantoea alhagi	1	243	0	0	0	0	0	0	0	1	0	0	0	0	0	1
[Pantoea] beijingensis	34	78	0	1	0	0	2	1	0	0	0	0	0	0	4	0
Erwinia sp. E602	24	87	8	20	0	0	0	73	2	3	2	0	0	0	1	0
Erwinia sp. Ejp617	18	1070	0	12	1	0	0	1	0	0	0	1	1	1	0	0
Erwinia sp. J780	1	32	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Erwinia gerundensis	24	12	1	4	0	0	0	0	0	0	0	0	0	0	0	1
Erwinia amylovora	29	3811	1	397	2	1	2	0	0	0	1	0	0	1	0	0
Erwinia tracheiphila	10	179	0	2	0	0	4	0	0	1	1	0	1	0	1	0
Candidatus Erwinia haradaeae	8	2142	17	43	1	0	7	1	2	1	3	2	1	6	2	1
Erwinia tasmaniensis	6	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Erwinia persicina	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0
Erwinia rhapontici	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia billingiae	33	28	0	0	0	0	2	1	15	5	0	0	0	0	0	0
Buchnera aphidicola	24	1686	118	137	1	2	35	7	8	8	3	4	3	19	4	2
Mixta calida	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mixta gaviniae	7	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0
Mixta intestinalis	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mixta sp. X22927	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tatumella ptyseos	7	829	16	1	0	0	1	1	1	0	2	0	0	0	1	0
Tatumella citrea	2	91	1	0	0	0	0	0	0	0	1	0	0	1	1	0
Wigglesworthia glossinidia	1	106	3	3	0	0	0	0	0	0	0	0	0	4	0	0
Xenorhabdus doucetiae	89	1342	100	21	57	0	169	1	101	0	116	1	59	3	159	0
Xenorhabdus poinarii	16	219	15	175	2	0	16	0	0	0	0	0	1	49	0	0
Xenorhabdus budapestensis	6	257	2	5	0	0	1	0	0	0	0	0	0	2	2	0
Xenorhabdus nematophila	3	414	6	23	0	0	6	0	0	0	2	0	0	7	0	0
Xenorhabdus bovienii	3	413	4	26	0	1	2	0	1	0	0	0	0	20	0	0
Morganella morganii	107	6806	78	275	4	2	19	16	13	5	16	2	15	37	9	1
Proteus mirabilis	37	3835	140	327	6	7	13	23	27	232	9	30	0	131	2	1
Proteus vulgaris	38	428	31	61	2	0	10	0	27	34	7	0	6	14	8	0
Proteus terrae	30	882	30	22	2	0	11	0	0	0	0	0	0	10	0	0
Proteus hauseri	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Providencia rettgeri	16	912	42	13	0	5	5	0	7	3	1	4	0	4	1	23
Providencia sp. R33	6	19	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Providencia sneebia	5	328	6	14	1	0	0	0	0	0	0	0	0	2	0	0
Providencia stuartii	3	955	33	66	0	0	2	0	0	0	2	1	0	29	0	6
Providencia alcalifaciens	1	59	1	2	0	0	0	0	0	0	0	1	0	2	0	2
Providencia rustigianii	1	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
Arsenophonus endosymbiont of Apis mellifera	8	51	3	1	0	0	0	0	0	0	1	0	0	0	0	0
Arsenophonus endosymbiont of Aphis craccivora	6	27	2	8	0	0	0	0	0	0	1	0	0	4	0	0
Arsenophonus endosymbiont of Aleurodicus dispersus	1	63	3	55	0	0	0	3	0	1	0	1	0	9	0	0
Arsenophonus nasoniae	6	954	7	18	0	0	4	28	2	4	1	1	0	7	2	1
Candidatus Arsenophonus lipoptenae	3	172	2	61	0	0	2	0	3	4	0	1	0	10	0	0
Photorhabdus asymbiotica	6	823	4	1	0	0	1	0	0	0	0	0	0	0	0	1
